yyyymm,Year,Month,Excess_Return,USA_Vulnerability,Global_Vulnerability,dp,dfy,tms,b/m,infl,de,dfr,USA_Vuln_sq
199501,1995,1,0.0218,0.31692616602175,0.4568753004955039,0.027996258662471837,0.006199999999999997,0.020900000000000002,0.2908537343814016,0.004008016032064354,0.42144,-0.0017000000000000001,0.10044219470924584
199502,1995,2,0.035227999999999995,0.31692616602175,0.4568753004955039,0.027021481770245593,0.0059000000000000025,0.018100000000000012,0.27873003559222,0.003992015968063756,0.4128526645768024,0.0001999999999999988,0.10044219470924584
199503,1995,3,0.024734,0.31692616602175,0.4568753004955039,0.026302650236663935,0.0058,0.018199999999999994,0.3138765418776539,0.003313452617627499,0.40460829493087547,0.0003999999999999993,0.10044219470924584
199504,1995,4,0.024995,0.31692616602175,0.4568753004955039,0.02571091812217883,0.005699999999999997,0.017999999999999995,0.3019947008247009,0.0033025099075296716,0.3988847583643122,0.0006000000000000033,0.10044219470924584
199505,1995,5,0.034408999999999995,0.31692616602175,0.4568753004955039,0.024929383827021624,0.005499999999999991,0.010999999999999996,0.2922642542456368,0.0019749835418036987,0.3933734345725274,-0.015899999999999997,0.10044219470924584
199506,1995,6,0.019455,0.31692616602175,0.4568753004955039,0.024526847177604408,0.006000000000000005,0.012300000000000005,0.28642961789533944,0.001971090670170872,0.38806273598605867,-0.005999999999999998,0.10044219470924584
199507,1995,7,0.028904999999999997,0.31692616602175,0.4568753004955039,0.023898397561351696,0.006299999999999986,0.014899999999999997,0.27716036719066023,0.0,0.38732218377547095,0.006699999999999999,0.10044219470924584
199508,1995,8,-0.0011979999999999994,0.31692616602175,0.4568753004955039,0.02403300823426117,0.006199999999999997,0.013399999999999995,0.28304613470217127,0.0026229508196722318,0.386592232083214,-0.0022000000000000006,0.10044219470924584
199509,1995,9,0.037802,0.31692616602175,0.4568753004955039,0.02322855529508393,0.006099999999999994,0.013499999999999998,0.2724949975926904,0.0019620667102679956,0.3858726549175668,-0.0022000000000000023,0.10044219470924584
199510,1995,10,-0.008142,0.31692616602175,0.4568753004955039,0.023466895958727425,0.0063,0.011300000000000004,0.27442024525926073,0.0032637075718016106,0.3924271472392637,-0.0109,0.10044219470924584
199511,1995,11,0.039979,0.31692616602175,0.4568753004955039,0.02265886978211672,0.006599999999999995,0.0087,0.25716885151700014,-0.0006506180871828082,0.3991367604267701,-0.0006999999999999992,0.10044219470924584
199512,1995,12,0.012742999999999999,0.31692616602175,0.4568753004955039,0.02238566070819736,0.0067000000000000115,0.008900000000000005,0.2550263829395351,-0.0006510416666666297,0.40600706713780915,-0.004399999999999998,0.10044219470924584
199601,1996,1,0.030561000000000005,0.314368322695332,0.4566136293976144,0.02184417680785719,0.006600000000000009,0.0109,0.24187717210079357,0.005863192182410382,0.40878775990584537,0.0025,0.09882744231427638
199602,1996,2,0.006187999999999999,0.314368322695332,0.4566136293976144,0.021858230667936646,0.006399999999999989,0.017599999999999998,0.23789473710345846,0.0032383419689119286,0.41156409251274,0.011000000000000003,0.09882744231427638
199603,1996,3,0.005684999999999999,0.314368322695332,0.4566136293976144,0.021849728892331523,0.0068000000000000005,0.018800000000000004,0.23929961540850445,0.005164622336991442,0.4143360752056404,0.008000000000000002,0.09882744231427638
199604,1996,4,0.010533,0.314368322695332,0.4566136293976144,0.021646259127342027,0.006900000000000003,0.021099999999999994,0.24007580620728264,0.003853564547206423,0.4124769395086902,0.0005000000000000004,0.09882744231427638
199605,1996,5,0.021057000000000003,0.314368322695332,0.4566136293976144,0.02124681173282321,0.0068000000000000005,0.021500000000000005,0.23692351549588916,0.0019193857965449368,0.4106489505103022,0.005900000000000001,0.09882744231427638
199606,1996,6,0.00012799999999999964,0.314368322695332,0.4566136293976144,0.02128297272713717,0.006900000000000003,0.0194,0.23644372524397833,0.0006385696040867028,0.40885133199656254,-0.0030999999999999986,0.09882744231427638
199607,1996,7,-0.048944,0.314368322695332,0.4566136293976144,0.022506966690105996,0.006999999999999992,0.019199999999999995,0.24181989379253627,0.0019144862795150708,0.4083349083349082,-0.0007999999999999999,0.09882744231427638
199608,1996,8,0.017828,0.314368322695332,0.4566136293976144,0.02229124168571093,0.007199999999999998,0.0221,0.23806111786702766,0.0019108280254778176,0.4078290150593958,0.006899999999999999,0.09882744231427638
